,Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift_x,PLZ_x,Firmenort_x,Telefon,Website,Verfügbarkeit,Firmenanschrift_y,PLZ_y,Firmenort_y,Stromauskunft,Verivox
158,Energieversorgung Filstal GmbH & Co. KG,,,,,,,,,,,,,Großeislinger Str. 30,73033,Göppingen,True,True
159,NaturStromHandel GmbH,,,,,,,,,,,,,Parsevalstraße 11,40468,Düsseldorf,True,True
160,Oberhessische Versorgungsbetriebe AG,,,,,,,,,,,,,Hanauer Straße 9-13,61169,Friedberg,True,True
161,Stadtwerke Schwerin GmbH (SWS),,,,,,,,,,,,,Eckdrift 43-45,19061,Schwerin,True,True
162,Stadtwerke Hamm GmbH,,,,,,,,,,,,,Südring 1 - 3,59065,Hamm,True,True
163,rhenag Rheinische Energie AG,,,,,,,,,,,,,Bayenthalgürtel 9,50968,Köln,True,True
164,Stadtwerke Duisburg AG,,,,,,,,,,,,,Bungertstr. 27,47053,Duisburg,True,True
165,LogoEnergie GmbH,,,,,,,,,,,,,Münsterstraße 9,53881,Euskirchen,True,True
166,EMB Energie Mark Brandenburg GmbH,,,,,,,,,,,,,Großbeerenstraße 181 - 18,14482,Potsdam,True,True
167,Stadtwerke Bochum GmbH,,,,,,,,,,,,,Ostring 28,44787,Bochum,True,True
168,Stadtwerke Fellbach GmbH,,,,,,,,,,,,,Ringstraße 5,70736,Fellbach,True,True
169,Stadtwerke Tübingen GmbH,,,,,,,,,,,,,Eisenhutstr.6,72072,Tübingen,True,True
170,Stadtwerke Rostock AG,,,,,,,,,,,,,Schmarler Damm 5,18069,Rostock,True,True
171,Stadtwerke Wedel GmbH,,,,,,,,,,,,,Feldstraße 150,22880,Wedel,True,True
172,FairEnergie GmbH,,,,,,,,,,,,,Hauffstraße 89,72762,Reutlingen,True,True
173,Süwag Vertrieb AG & Co. KG,,,,,,,,,,,,,Schützenbleiche 9-11,65929,Frankfurt am Main,True,True
174,Stadtwerke Oranienburg GmbH,,,,,,,,,,,,,Klagenfurter Str. 41,16515,Oranienburg,True,True
175,EWE VERTRIEB GmbH,,,,,,,,,,,,,Cloppenburger Str. 310,26133,Oldenburg,True,True
176,Pfalzwerke AG,,,,,,,,,,,,,Kurfürstenstr. 29,67061,Ludwigshafen,True,True
177,TEAG Thüringer Energie AG,,,,,,,,,,,,,Schwerborner Straße 30,99087,Erfurt,True,True
178,E.ON Energie Deutschland GmbH,,,,,,,,,,,,,Arnulfstraße 203,80634,München,True,True
179,SWM Versorgungs GmbH,,,,,,,,,,,,,Emmy-Noether-Straße 2,80992,München,True,True
180,envia Mitteldeutsche Energie AG,,,,,,,,,,,,,Chemnitztalstraße 13,09114,Chemnitz,True,True
181,Stadtwerke Düsseldorf AG,,,,,,,,,,,,,Höherweg 100,40233,Düsseldorf,True,True
182,WEMAG AG,,,,,,,,,,,,,Obotritenring 40,19053,Schwerin,True,True
183,SWT Stadtwerke Trier Versorgungs-GmbH,,,,,,,,,,,,,Ostallee 7-13,54290,Trier,True,True
184,123energie - eine Marke der Pfalzwerke AG,,,,,,,,,,,,,Kurfürstenstraße 29,67061,Ludwigshafen,True,True
185,Vattenfall Europe Sales GmbH,,,,,,,,,,,,,Überseering 12,22297,Hamburg,True,True
186,Vattenfall Europe Sales GmbH,,,,,,,,,,,,,Überseering 12,22297,Hamburg,True,True
187,EVH GmbH,,,,,,,,,,,,,Bornknechtstr. 5,06108,Halle,True,True
188,Aschaffenburger Versorgungs-GmbH,,,,,,,,,,,,,Werkstraße 2,63739,Aschaffenburg,True,True
189,Grünwelt - eine Marke der Stromio GmbH,,,,,,,,,,,,,Girmes-Kreuz-Str. 55,41564,Kaarst,True,True
