"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE981632480692";"In Betrieb";"Eberfing PV L.A. 2006";"Solare Strahlungsenergie";"82390 Eberfing
Deutschland";"17,1";"16";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"31.08.2006";"";"natürliche Person (ABR967356200075)";"EEG922483304973";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"31.08.2006";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE925085834084";"In Betrieb";"RickfelderSimonBS";"Speicher";"59846 Sundern
Deutschland";"5";"2,8";"";"02.07.2019";"";"natürliche Person (ABR925483144433)";"EEG994540733866
SSE959615405208";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.07.2019";"";"";"5";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE963809161825";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"52382 Niederzier
Deutschland";"3,6";"3,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"09.07.2019";"";"natürliche Person (ABR921594286598)";"EEG940085606004";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"09.07.2019";"";"";"";"";"";"";"";"11.07.2019";"12.07.2019";"";"B";"Ungeprüft"
"SEE910842223904";"In Betrieb";"Unsere Solaranlage";"Solare Strahlungsenergie";"40822 Mettmann
Deutschland";"6,2";"5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"10.07.2019";"";"natürliche Person (ABR922644767951)";"EEG921805847976";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"10.07.2019";"";"";"";"";"";"";"";"10.07.2019";"16.07.2019";"";"B";"Ungeprüft"
"SEE962252957115";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"84571 Reischach
Deutschland";"5,18";"5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.06.2010";"";"natürliche Person (ABR998798366791)";"EEG933107084201";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.06.2010";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE940388678036";"In Betrieb";"Eberfing PV L.A. 2011";"Solare Strahlungsenergie";"82390 Eberfing
Deutschland";"3,6";"3,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"17.12.2011";"";"natürliche Person (ABR967356200075)";"EEG956283515543";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"17.12.2011";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE988252355638";"In Betrieb";"PV-Anlage-Abensberger-Straße-10";"Solare Strahlungsenergie";"93345 Hausen
Deutschland";"8,96";"8,96";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.06.2019";"";"natürliche Person (ABR994496197477)";"EEG929151958261";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"19.06.2019";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE935366707440";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"35713 Eschenburg
Deutschland";"5,55";"5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"27.10.2009";"";"natürliche Person (ABR948450872276)";"EEG911632279422";"EnergieNetz Mitte GmbH (SNB971311555230)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"27.10.2009";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE988093298972";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"76646 Bruchsal
Deutschland";"2,94";"2,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.10.2013";"";"natürliche Person (ABR964322747503)";"EEG959434233921";"Energie- und Wasserversorgung Bruchsal GmbH (SNB941042755957)";"";"25.10.2013";"";"";"";"";"";"";"";"11.07.2019";"10.07.2019";"";"A";"Abgeschlossen"
"SEE944974053252";"In Betrieb";"Eberfing PV L.A. 2017";"Solare Strahlungsenergie";"82390 Eberfing
Deutschland";"8,4";"8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"02.08.2017";"";"natürliche Person (ABR967356200075)";"EEG922505106318";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.08.2017";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE910939070862";"In Betrieb";"PV-Anlage1";"Solare Strahlungsenergie";"88276 Berg
Deutschland";"11,88";"10,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"21.12.2009";"";"natürliche Person (ABR936680279019)";"EEG966954666993";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.03.2008";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE999753695598";"In Betrieb";"Max-Planck-Gymnasium Böblingen";"Solare Strahlungsenergie";"71032 Böblingen
Deutschland";"2,76";"2,1";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"21.05.2003";"";"natürliche Person (ABR918530192655)";"EEG909907704922";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"21.05.2003";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE967712580285";"In Betrieb";"Photovoltaik-01";"Solare Strahlungsenergie";"78337 Öhningen
Deutschland";"9,9";"9,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"09.07.2019";"";"natürliche Person (ABR958837706414)";"EEG957716555419";"Elektrizitätswerk des Kantons Schaffhausen AG (SNB985099151188)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"09.07.2019";"";"";"";"";"";"";"";"11.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE959223206143";"In Betrieb";"Erlasee Mover 1024";"Solare Strahlungsenergie";"97450 Arnstein
Deutschland";"9,359";"9,359";"Freifläche";"01.12.2005";"";"natürliche Person (ABR942937477688)";"EEG968162430076";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.12.2005";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE996705127428";"In Betrieb";"KLF196";"Solare Strahlungsenergie";"97828 Marktheidenfeld
Deutschland";"9,8";"8,2";"Bauliche Anlagen (Sonstige)";"27.06.2019";"";"natürliche Person (ABR984270800167)";"EEG953647288525";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"27.06.2019";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE938516210715";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"46325 Borken
Deutschland";"8,96";"8,96";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"15.10.2017";"";"natürliche Person (ABR933892304539)";"EEG925894602447";"Stadtwerke Borken/Westf. GmbH (SNB982432856366)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"15.10.2017";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE973927659999";"In Betrieb";"H.Dach";"Solare Strahlungsenergie";"78567 Fridingen
Deutschland";"9,6";"9,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.07.2019";"";"natürliche Person (ABR940467251501)";"EEG978269146985";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.07.2019";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE962980697130";"In Betrieb";"PV1";"Solare Strahlungsenergie";"09661 Hainichen
Deutschland";"4,14";"4";"Bauliche Anlagen (Sonstige)";"24.07.2019";"";"natürliche Person (ABR986378088133)";"EEG922424398801";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"24.07.2019";"";"";"";"";"";"";"";"30.07.2019";"30.07.2019";"";"B";"Ungeprüft"
"SEE998543270212";"In Betrieb";"Polenviertel";"Solare Strahlungsenergie";"78532 Tuttlingen
Deutschland";"4,08";"4";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"27.10.2008";"";"natürliche Person (ABR919796770274)";"EEG914176661326";"Stadtwerke Tuttlingen GmbH (SNB922074927642)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"27.10.2008";"";"";"";"";"";"";"";"11.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE985941642291";"In Betrieb";"Batterie";"Speicher";"52382 Niederzier
Deutschland";"5";"5";"";"09.07.2019";"";"natürliche Person (ABR921594286598)";"EEG921163656708
SSE973676498719";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"09.07.2019";"";"";"4";"";"";"";"";"11.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE983839153195";"In Betrieb";"Solei-Sunshine";"Solare Strahlungsenergie";"75233 Tiefenbronn
Deutschland";"9,6";"7";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"27.06.2019";"";"natürliche Person (ABR997952954669)";"EEG956379938836";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"27.06.2019";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE932571731956";"In Betrieb";"ABR946237272042";"Solare Strahlungsenergie";"73117 Wangen
Deutschland";"8,14";"7,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.09.2010";"";"natürliche Person (ABR946237272042)";"EEG912088354312";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.09.2010";"";"";"";"";"";"";"";"11.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE930456665501";"In Betrieb";"WG Solar Concept";"Solare Strahlungsenergie";"72108 Rottenburg
Deutschland";"10";"10";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.05.2014";"";"natürliche Person (ABR961156833181)";"EEG976537402184";"Energieversorgung Rottenburg am Neckar GmbH (SNB935932937127)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.05.2014";"";"";"";"";"";"";"";"11.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE965182201495";"In Betrieb";"H.Speicher";"Speicher";"78567 Fridingen
Deutschland";"12";"12";"";"01.07.2019";"";"natürliche Person (ABR940467251501)";"EEG965047414336
SSE922124633486";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.07.2019";"";"";"13";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE939901986000";"In Betrieb";"Jongmans";"Solare Strahlungsenergie";"26899 Rhede
Deutschland";"9,92";"9,92";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"11.07.2019";"";"natürliche Person (ABR947720235995)";"EEG940008959231";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"11.07.2019";"";"";"";"";"";"";"";"11.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE965159156421";"In Betrieb";"PV-Hausdach";"Solare Strahlungsenergie";"63322 Rödermark
Deutschland";"5,94";"5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"12.02.2018";"";"natürliche Person (ABR902387784262)";"EEG953052044938";"e-netz Südhessen GmbH & Co. KG (SNB956958990736)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"12.02.2018";"";"";"";"";"";"";"";"11.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE912941341503";"In Betrieb";"Jongmans";"Speicher";"26899 Rhede
Deutschland";"5,32";"5,32";"";"11.07.2019";"";"natürliche Person (ABR947720235995)";"EEG907378977357
SSE944257004704";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"11.07.2019";"";"";"10,24";"";"";"";"";"11.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE910754777922";"In Betrieb";"Klopstra";"Solare Strahlungsenergie";"26906 Dersum
Deutschland";"9,92";"9,92";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"11.07.2019";"";"natürliche Person (ABR948626402405)";"EEG923025603981";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"11.07.2019";"";"";"";"";"";"";"";"11.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE941397774757";"In Betrieb";"Solar Hausdach";"Solare Strahlungsenergie";"77948 Friesenheim
Deutschland";"8,84";"8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.12.2011";"";"natürliche Person (ABR933045742478)";"EEG936134479477";"Netze Mittelbaden GmbH & Co. KG (SNB913992545742)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.12.2011";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE947633782814";"In Planung";"PV-GHA-01";"Solare Strahlungsenergie";"04643 Geithain
Deutschland";"9,9";"9,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"";"";"natürliche Person (ABR958481154500)";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";""
"SEE999154732489";"In Betrieb";"Batterie Sonnen 15KW";"Speicher";"79199 Kirchzarten
Deutschland";"15";"3,3";"";"10.07.2019";"";"natürliche Person (ABR968156181793)";"EEG920468539310
SSE914696890497";"Energie- und Wasserversorgung Kirchzarten GmbH (SNB966380208811)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"10.07.2019";"";"";"15";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE906757622475";"In Betrieb";"Solareinheit 2019";"Solare Strahlungsenergie";"79199 Kirchzarten
Deutschland";"7,9";"1";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"10.07.2019";"";"natürliche Person (ABR968156181793)";"EEG977746990271";"Energie- und Wasserversorgung Kirchzarten GmbH (SNB966380208811)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"10.07.2019";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE919289216142";"In Betrieb";"HAR 7 - 2x VARTA";"Speicher";"94405 Landau
Deutschland";"8";"8";"";"01.07.2019";"";"natürliche Person (ABR934586636028)";"SSE912629990764";"Stadtwerke Landau a.d.Isar (SNB963499807249)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"";"27,6";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE933301298305";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"73460 Hüttlingen
Deutschland";"8,46";"7,1";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"21.08.2007";"";"natürliche Person (ABR978307169457)";"EEG952338036551";"Netzgesellschaft Ostwürttemberg DonauRies GmbH (SNB935556509052)";"";"21.08.2007";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Abgeschlossen"
"SEE903865686818";"In Betrieb";"Hausdachanlage";"Solare Strahlungsenergie";"63322 Rödermark
Deutschland";"8,16";"8,16";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"13.06.2014";"";"natürliche Person (ABR910895365583)";"EEG962710847699";"e-netz Südhessen GmbH & Co. KG (SNB956958990736)";"";"13.06.2014";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Abgeschlossen"
"SEE909771645239";"In Betrieb";"Photovoltaikanlage: Thalebra";"Solare Strahlungsenergie";"99706 Sondershausen
Deutschland";"8,58";"8,58";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"08.03.2012";"";"natürliche Person (ABR928880797509)";"EEG974718499985";"Stadtwerke Sondershausen Netz GmbH (SNB987483520273)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.04.2012";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE994234181096";"In Betrieb";"Sunny-H";"Solare Strahlungsenergie";"88518 Herbertingen
Deutschland";"15,84";"15";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.06.2010";"";"natürliche Person (ABR964592359192)";"EEG908430987918";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.06.2010";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE994795116421";"In Betrieb";"VikKasach";"Solare Strahlungsenergie";"86920 Denklingen";"5,58";"5,58";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"16.04.2019";"";"natürliche Person (ABR965113024414)";"EEG913933326713";"LEW Verteilnetz GmbH (SNB911705062982)";"Umspannebene Hochspannung/Mittelspannung";"16.04.2019";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"B";"Ungeprüft"
"SEE904782775333";"In Betrieb";"2011 - 30,2kWp";"Solare Strahlungsenergie";"74532 Ilshofen
Deutschland";"30,2";"28";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"23.12.2011";"";"natürliche Person (ABR982508699750)";"EEG996693483339";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"23.12.2011";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE926778907122";"In Betrieb";"EA-42194";"Solare Strahlungsenergie";"52391 Vettweiß";"3,3";"2,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.11.2007";"";"natürliche Person (ABR936052888481)";"EEG935855556429";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.11.2007";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE923030969249";"In Betrieb";"Kampa MH Wuppertal";"Solare Strahlungsenergie";"42279 Wuppertal
Deutschland";"9,86";"9,86";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"03.07.2014";"";"Kampa";"EEG984998126228";"WSW Netz GmbH (SNB914306944756)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"03.07.2014";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE962483028448";"In Betrieb";"PV-Anlage1";"Solare Strahlungsenergie";"78333 Stockach
Deutschland";"7";"6,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"08.07.2019";"";"natürliche Person (ABR945729470768)";"EEG958465421529";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.07.2019";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE972522125588";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"58454 Witten
Deutschland";"6,5";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"14.10.2015";"";"natürliche Person (ABR993817292143)";"EEG989216602775";"Stadtwerke Witten GmbH (SNB971007500575)";"";"14.10.2015";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Abgeschlossen"
"SEE917620434583";"In Betrieb";"Lahe Stall";"Solare Strahlungsenergie";"26219 Bösel
An der Lahe
Deutschland";"264,81";"264,81";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"16.12.2011";"";"FBSolar";"EEG932416347113";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"16.12.2011";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE938084366937";"In Betrieb";"Speicher";"Speicher";"02625 Bautzen
Deutschland";"4,8";"4,8";"";"20.06.2019";"";"natürliche Person (ABR999992229660)";"EEG926890108667
SSE952967802435";"ENSO Netz GmbH (SNB968914838013)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"20.06.2019";"";"";"4,8";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE924751897248";"In Betrieb";"16,2 Kwp Anlage vom 18.06.2009";"Solare Strahlungsenergie";"26169 Friesoythe
Deutschland";"16,2";"15";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"18.06.2009";"";"natürliche Person (ABR947373732346)";"EEG955780067937";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"18.06.2009";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE914105539894";"In Betrieb";"EA-42193";"Solare Strahlungsenergie";"52391 Vettweiß";"3,96";"3,3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.11.2007";"";"natürliche Person (ABR936052888481)";"EEG947153723304";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.11.2007";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE969869505418";"In Betrieb";"Senergie G926TE";"Biomasse";"87493 Lauben
Hirschdorfer Straße 35
Deutschland";"150";"150";"Biogas (vor Ort verstromt)";"01.12.2008";"Verbrennungsmotor";"natürliche Person (ABR988931440310)";"EEG901731831812
KWK993850499714
SGE934227717499";"AllgäuNetz GmbH & Co. KG (SNB926394308747)";"Mittelspannung";"01.12.2008";"";"382";"";"Landratsamt Oberallgäu";"1382/07";"23.10.2007";"11.07.2019";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE959417672693";"In Betrieb";"13,5 Kwp Anlage vom 16.10.2019";"Solare Strahlungsenergie";"26169 Friesoythe
Deutschland";"13,5";"12";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"16.10.2009";"";"natürliche Person (ABR947373732346)";"EEG983594421508";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"16.10.2009";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE980565112991";"In Betrieb";"Speicher1";"Speicher";"78333 Stockach
Deutschland";"3,3";"3,3";"";"08.07.2019";"";"natürliche Person (ABR945729470768)";"EEG976157180646
SSE945248084828";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.07.2019";"";"";"3,87";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE987549758695";"In Betrieb";"Anlage 2010";"Solare Strahlungsenergie";"83352 Altenmarkt
Harald-Friedrich-Straße 2
Deutschland";"149,81";"149,81";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"27.10.2010";"";"Alzmetall Werkzeugmaschinenfabrik und Gießerei Friedrich";"EEG973066417658";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"27.10.2010";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE902440130678";"In Betrieb";"35,25 Kwp Anlage vom 29.10.2012";"Solare Strahlungsenergie";"26169 Friesoythe
Deutschland";"35,25";"28";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.10.2012";"";"natürliche Person (ABR947373732346)";"EEG992310453211";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.10.2012";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE932956192969";"In Betrieb";"Senergie G926TIE";"Biomasse";"87493 Lauben
Hirschdorfer Straße 35
Deutschland";"180";"180";"Biogas (vor Ort verstromt)";"01.11.2011";"Verbrennungsmotor";"natürliche Person (ABR988931440310)";"EEG960772696590
KWK993850499714
SGE934227717499";"AllgäuNetz GmbH & Co. KG (SNB926394308747)";"Mittelspannung";"01.11.2011";"";"382";"";"Landratsamt Oberallgäu";"1382/07";"23.10.2007";"11.07.2019";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE966291463941";"In Betrieb";"Spitzkehre PV Anlage";"Solare Strahlungsenergie";"68766 Hockenheim
Am Motodrom
Deutschland";"849,6";"849";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"27.04.2010";"";"Solar Stadt Hockenheim GmbH & Co.KG";"EEG939407068613";"Stadtwerke Hockenheim (SNB967127819703)";"";"27.04.2010";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Abgeschlossen"
"SEE958629647512";"In Betrieb";"ABR960075613317";"Solare Strahlungsenergie";"86971 Peiting
Deutschland";"6,5";"6,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.07.2019";"";"natürliche Person (ABR960075613317)";"EEG930592702771";"LEW Verteilnetz GmbH (SNB911705062982)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.07.2019";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE982960172105";"In Betrieb";"SF2011";"Solare Strahlungsenergie";"88639 Wald
Deutschland";"25,6";"23,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"16.11.2011";"";"natürliche Person (ABR975210819875)";"EEG926447419062";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"16.11.2011";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE943677917199";"In Betrieb";"Hallendach";"Solare Strahlungsenergie";"32758 Detmold
Am Winkelkamp 4
Deutschland";"64,4";"60";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"20.07.2011";"";"BPr Backwaren GmbH";"EEG902051619678";"Stadtwerke Detmold GmbH (SNB924774487556)";"";"20.07.2011";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Abgeschlossen"
"SEE934436361902";"In Betrieb";"Getreidehalle NM";"Solare Strahlungsenergie";"06628 Lanitz-Hassel-Tal
Niedermöllern
Deutschland";"98,8";"98,8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"28.03.2012";"";"Landhof Hasseltal GmbH";"EEG941041434594";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Mittelspannung";"28.03.2012";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
